Timestamp,Open,High,Low,Close,Volume
1770090300,285,822.5,256.1,593.9,1974830
1770090420,599.95,599.95,556.5,565.95,420615
1770090540,565,577.75,502,503.8,314145
1770090660,501,510.7,485.45,487.2,263510
1770090780,488.55,521.95,476.75,517.1,174330
1770090900,509.65,568.45,501.4,545.85,112580
1770091020,552.6,560,515,520.9,103025
1770091140,522.85,551.55,517.1,541.15,86320
1770091260,544.7,545.6,519.5,535.55,103480
1770091380,539.15,567.1,520.8,563,85410
1770091500,562.65,568.55,535.7,544.2,90415
1770091620,545.25,562.5,530.6,543.35,52715
1770091740,543.3,570,532.45,558,41795
1770091860,559.8,583.9,552,583.9,47385
1770091980,583.7,594.9,565,585.25,51675
1770092100,585.25,638,577.8,626.3,41860
1770092220,630.5,646.15,561.1,565.8,39845
1770092340,565,565,536.4,547.2,45175
1770092460,547.2,558,518.9,539.2,22750
1770092580,539.2,583,539.2,582,38740
1770092700,582,585.05,562,579.35,25090
1770092820,575.35,598.5,566.1,594.35,22425
1770092940,597.7,621.05,594,594.25,64610
1770093060,596.25,612.05,590.3,596.55,16575
1770093180,595,611.1,581.35,608.6,9490
1770093300,614.05,650,614.05,634.3,31005
1770093420,639.5,678.3,637.85,644.5,14495
1770093540,632,640,617.8,633.4,11895
1770093660,633.4,671.45,627.95,645.95,40625
1770093780,656.55,663.2,635,641.25,22360
1770093900,637,637,577,579.1,17290
1770094020,578.3,581.3,548.65,559.6,35035
1770094140,561.1,565,549.1,551.65,17420
1770094260,556.25,558.7,535,543.75,14950
1770094380,543.75,553.6,523.1,536.75,11310
1770094500,531.3,540,517.95,524.85,7930
1770094620,520,536.45,518,529.5,11830
1770094740,528.6,550.6,526.3,549.95,8515
1770094860,555,557,510.1,521.55,14430
1770094980,519.35,522.1,485.8,499.8,9100
1770095100,499,505,488.45,504,8840
1770095220,509,509,493,502.75,11505
1770095340,502.75,509.5,493,502.3,6630
1770095460,500,518.2,490.65,513.8,7995
1770095580,515.8,519.2,496.15,517.8,6565
1770095700,514.65,525.9,508.65,513.55,23530
1770095820,512.8,563.1,512.8,550.1,17940
1770095940,546.1,559,542.55,549.8,14430
1770096060,552.05,569.5,546.95,565.6,4550
1770096180,565.15,570.1,540.5,540.5,20930
1770096300,538.6,540.15,510,529.25,33345
1770096420,529.5,532.25,528,528,1560
1770096540,529.55,536.55,518.2,522.75,3835
1770096660,523.6,526.3,505,506.95,22230
1770096780,505,522.95,500,515.8,8840
1770096900,514.35,518.25,510,513.55,1820
1770097020,516.2,529.35,513.55,524.1,4680
1770097140,530,547.75,527.7,533.65,15145
1770097260,532.55,538,527.8,534.15,4810
1770097380,535.45,536.3,516.65,521.7,2730
1770097500,522.95,537.7,519.4,533.7,2860
1770097620,525,526,513.65,518.55,5720
1770097740,519.45,537.7,515.25,532.2,15990
1770097860,520.4,520.4,513.15,513.15,2730
1770097980,513.15,515,503.75,506.5,10335
1770098100,504,506.6,496.75,503.05,11115
1770098220,500,501.6,480.5,492.4,13130
1770098340,492.05,501.75,488.95,496,6175
1770098460,499.2,499.2,464.45,465.45,10270
1770098580,470,470.55,441.1,446.25,24830
1770098700,440,458.25,437,453.8,10595
1770098820,453.8,474.95,453.8,468.55,8255
1770098940,470.25,470.25,445.55,452.5,5980
1770099060,456,458,440,442.4,9230
1770099180,448.65,452.3,441.15,449.35,4160
1770099300,449.3,452.05,444.1,446.95,5395
1770099420,454.1,478,454.1,474.8,14560
1770099540,471.1,476.95,464.5,470.05,3900
1770099660,474,480,462.65,469.45,4745
1770099780,470.9,472.6,461.9,466,3445
1770099900,461.65,471.05,458.9,465,3640
1770100020,459,459,454,458,3185
1770100140,465,466.6,453,466.6,3640
1770100260,463.05,478.9,463.05,478.9,8320
1770100380,478.55,489.1,476.15,487.85,6175
1770100500,486.6,490,481,486.75,6175
1770100620,490.75,500.7,470.7,475,11830
1770100740,476.55,478.75,468,478.1,4290
1770100860,476.45,476.45,464.15,471,5070
1770100980,470.95,470.95,460.4,467,3640
1770101100,471.35,475.55,467,470,1365
1770101220,470.2,480,470.2,477.4,3575
1770101340,479.85,480.6,467.3,467.3,4680
1770101460,467.3,481.1,462.4,475.8,3380
1770101580,479.05,492,477.8,492,5525
1770101700,493,511.5,492,492.35,10270
1770101820,494.65,508.8,492.95,507.5,5135
1770101940,512.9,530,512.9,517.95,20605
1770102060,512.85,512.85,495.95,496.4,2990
1770102180,497.3,510.45,488.8,510.45,5590
1770102300,509.45,542.85,509.45,535,18525
1770102420,535,536.2,515.35,525.45,4615
1770102540,520,521.7,499.8,502.35,2535
1770102660,503,517,503,517,2080
1770102780,513.45,516.15,505,508.05,5590
1770102900,508.05,522.35,505.5,518.45,9945
1770103020,512,526.1,512,524.3,1625
1770103140,525.7,526.25,514.35,514.95,2470
1770103260,519.75,524.6,511.4,511.4,1950
1770103380,519.45,519.45,502.8,511,15535
1770103500,509.9,514.1,490.85,512.7,13520
1770103620,515,522.9,508.4,510.15,15340
1770103740,512.65,520,506.35,508.35,12220
1770103860,508.35,508.35,487.35,501.95,14235
1770103980,505.9,511.95,499.25,504.35,4680
1770104100,502.05,506.6,489.05,489.05,3250
1770104220,490,513.1,488.05,510.1,5655
1770104340,511.3,520,509,513.9,9555
1770104460,515.5,522.9,511.9,513,2535
1770104580,512.85,519.7,512.85,517.7,1365
1770104700,513.3,517.65,503.1,517.65,5915
1770104820,505.25,517.85,505,507.5,4940
1770104940,505,513.2,501.25,513.2,2405
1770105060,513.05,523.35,510.05,512,2275
1770105180,513.35,517.5,507.9,517.5,1235
1770105300,517.5,550.3,517.5,547.35,22165
1770105420,551,569.3,530.65,538.95,6630
1770105540,535.65,541.35,530.95,540.5,1755
1770105660,540.5,546.8,537.7,538.25,3900
1770105780,538.1,552.05,525.35,552.05,5330
1770105900,556,587.45,556,574.8,6045
1770106020,577.35,577.35,531,532.85,16120
1770106140,530.6,540.7,505.35,505.35,12155
1770106260,504.9,519.25,504.9,510,15730
1770106380,508.95,508.95,485,491.5,31460
1770106500,495.55,495.55,479,479,8125
1770106620,478.25,496.8,478.25,487.95,650
1770106740,494.8,516,492,511.1,5460
1770106860,504.95,509.95,490.35,498.65,2665
1770106980,503,503,490,499.2,2275
1770107100,491.5,498.35,487,498.35,1885
1770107220,495.05,534.05,495.05,531.55,12480
1770107340,531.55,550,524,545,18070
1770107460,541.85,547.25,529.7,530.7,2535
1770107580,534.9,539.55,524.7,524.7,1755
1770107700,529.65,543,523,523,1300
1770107820,523,528.1,515,521,2405
1770107940,522.75,531.8,517.25,527.05,2340
1770108060,532.6,535.65,515.15,515.3,8320
1770108180,516.9,524.5,509.25,523,2795
1770108300,520.8,533,516.85,530.25,9100
1770108420,528.85,537.8,525.6,531.9,2405
1770108540,539.1,540,523,525.75,1690
1770108660,533.1,540,523.5,540,1300
1770108780,538.15,538.15,512.35,525,2015
1770108900,524.5,529.1,524.5,527.6,1235
1770109020,527.6,535.35,524.45,530.7,1885
1770109140,527.2,533.4,501.8,501.8,2210
1770109260,507.25,569,507.25,569,6565
1770109380,566.6,568.05,535,535,7345
1770109500,533.8,537.5,522.25,528.25,5980
1770109620,521.5,532.45,519.7,524.05,23725
1770109740,525.25,540,524.85,539.05,20995
1770109860,536.8,560,536.8,541.7,3770
1770109980,543.5,559.1,543,543.75,1495
1770110100,553.55,555.35,538,540.25,3575
