Timestamp,Open,High,Low,Close,Volume
1770090300,655,1146.95,267.2,508.9,4141475
1770090420,502,552.55,502,536.35,834990
1770090540,537,602,526.15,601.75,701610
1770090660,600,609.6,585,606.95,443560
1770090780,606.45,619.35,567.25,570.1,324415
1770090900,576.1,585.25,513.6,533.1,256100
1770091020,529.9,571.95,521.25,566.25,194350
1770091140,565.7,568.55,529.15,537.05,112905
1770091260,537.05,559.1,532.5,543.25,125320
1770091380,538.75,555.95,504.7,506.8,113555
1770091500,508,536,502.5,526.75,156260
1770091620,530.15,541.9,513.75,528.7,75335
1770091740,525.75,538.4,496.05,508.35,81380
1770091860,506.35,515,481.5,482.4,49855
1770091980,483.7,498.95,470.15,481.15,42510
1770092100,479.55,486.5,435.5,439.55,76115
1770092220,439.05,504.95,425,499.95,97500
1770092340,500.2,530.6,500.2,521.9,63635
1770092460,524.1,549,511,526.2,40365
1770092580,526.2,527.05,479.75,479.75,51935
1770092700,484.9,505.4,480.1,483.95,55055
1770092820,487.2,497.9,469.2,469.9,36335
1770092940,467,471.6,442.75,470,31720
1770093060,470,475,452,465.65,36400
1770093180,465.65,480.5,449.85,449.85,27560
1770093300,449.35,449.8,414.2,428.3,58175
1770093420,424.5,424.5,389.15,417.05,62595
1770093540,418.35,445,418.35,430.2,28925
1770093660,430.2,434.1,394.9,417.35,24375
1770093780,415,427.2,401,427.1,15795
1770093900,428.05,483.7,428.05,479.75,39065
1770094020,483,515,477.8,500.35,27820
1770094140,502.1,514.45,497.95,510.35,12870
1770094260,510.35,526.55,503.4,519.15,15730
1770094380,521.45,540,509.35,533.1,15990
1770094500,530.65,546.4,521.95,535,21580
1770094620,537,544.15,525.05,536.4,38870
1770094740,535.1,539,512.05,515,30615
1770094860,508.25,550.65,505,541.45,32370
1770094980,542.7,575,538.85,559.95,12740
1770095100,559.75,574.45,555.7,559.15,29185
1770095220,552.3,569,552,555.95,10725
1770095340,550,568.6,550,556,13195
1770095460,560.7,570,540,545.3,15080
1770095580,542.3,564.6,542.3,542.35,9880
1770095700,540,550,531.45,550,14560
1770095820,546.1,547.55,499.9,509.15,13390
1770095940,507.65,516.05,500,508.75,51675
1770096060,511.4,513.75,489.85,493.95,26065
1770096180,493.5,518,490,517.65,7605
1770096300,520,550.7,516.65,529.85,6435
1770096420,529.85,533,520,529.9,4030
1770096540,522,539,520.15,539,1690
1770096660,535,553.7,535,550.45,10140
1770096780,550.85,563.95,538.05,544.9,7020
1770096900,546.9,553,539.8,546.8,6435
1770097020,543,543.7,527.75,532.85,8255
1770097140,527.9,527.9,508.9,524.8,7670
1770097260,527.85,531.4,518.65,524.1,3445
1770097380,520,539,520,535,4875
1770097500,539.45,540,523.3,528.85,21905
1770097620,528,542.75,526.1,536.9,3900
1770097740,540.25,543.8,518,528,6760
1770097860,537.2,544.15,533.3,542.55,11505
1770097980,550,553,542.35,550.75,9945
1770098100,555,561,550.8,556.05,4940
1770098220,556.05,577.1,556.05,568.2,17420
1770098340,568.2,571.25,557.25,560,11375
1770098460,558,592,558,592,17550
1770098580,590.95,617.7,590.95,613.1,40365
1770098700,617,620.65,600,603.2,27430
1770098820,603,603,582.45,588.6,10595
1770098940,588.2,610.75,588.2,606.95,6045
1770099060,600.8,617.5,599.6,617.15,16055
1770099180,613,615.5,604.55,606.45,6630
1770099300,610.3,612,605.45,605.45,1755
1770099420,600,600,576.7,581.65,6565
1770099540,580.85,591.2,580,586.5,8320
1770099660,582.5,589,574.1,583.7,2600
1770099780,588,595,587.7,589.15,5785
1770099900,590.7,595.5,584.75,591.85,9100
1770100020,593.9,601,591.3,598.25,8905
1770100140,590.15,602.55,586.9,590.55,1430
1770100260,590.55,591.25,577,577,6370
1770100380,577.3,579.6,565.85,568,9425
1770100500,568,574.6,565,568,5135
1770100620,562.65,582.8,553.95,578.3,11635
1770100740,581,588,575,578.85,10595
1770100860,584,590,579.3,585.25,4615
1770100980,587,597.75,586.55,590.85,2925
1770101100,582.2,586.85,581,582.9,7150
1770101220,583.5,583.5,574.1,578.05,5265
1770101340,576,587.65,575.5,583.35,10205
1770101460,590,590.7,575,581,15275
1770101580,575.55,575.65,568.7,568.7,4160
1770101700,562.85,564.1,544.85,561.05,5135
1770101820,561.2,561.2,545.05,545.05,6955
1770101940,543.3,543.3,525,534,12870
1770102060,536.4,558.25,536.4,558.25,6110
1770102180,556.95,565,550.15,555,9360
1770102300,543.4,544,512.1,521.8,6955
1770102420,521.65,540,517.05,531,5850
1770102540,533.05,554.95,533.05,550,21840
