Timestamp,Open,High,Low,Close,Volume
1770090300,830,1200,150,459.9,7583550
1770090420,453.75,502.75,452,486.6,1907815
1770090540,487.7,551,479.2,550.8,1707095
1770090660,550,559.9,538.5,559.9,1106105
1770090780,555.75,569,517.8,523.05,1060605
1770090900,528.4,538.65,466.7,485,632840
1770091020,481.8,523.65,474.1,519.8,494845
1770091140,516.05,519.6,479.7,490.15,296335
1770091260,488.45,511.05,484.5,490,311545
1770091380,493.25,506.5,457.9,458.7,357045
1770091500,461.7,488.4,456.9,479.5,249535
1770091620,478.5,493.9,464.9,477.6,243620
1770091740,478.5,490.5,448.15,456.8,398645
1770091860,457.45,464.9,434.1,434.1,242450
1770091980,436.2,451,421.8,431.25,178230
1770092100,431.6,438.95,388.9,393.3,315250
1770092220,392.8,456.65,378.1,453.45,273065
1770092340,451.25,482.2,451.25,473.25,417235
1770092460,473.65,501,462.2,477.95,268190
1770092580,476,478.4,432.75,433.95,218595
1770092700,434.55,452.75,431.3,437.7,98215
1770092820,436.15,449.1,417.85,417.85,90545
1770092940,420.2,420.65,394.5,420,109460
1770093060,417.55,424.3,403,415.1,87360
1770093180,415.6,430,401.05,401.45,199355
1770093300,401.6,401.6,366.7,378,163670
1770093420,375.5,376.1,341.6,371.05,198640
1770093540,372.15,396,370.65,380.6,94770
1770093660,381.45,388.3,348.4,370.45,139295
1770093780,369,380,352.4,380,108745
1770093900,380.2,437.85,380.2,432.45,158015
1770094020,433.85,467.05,430,451,161005
1770094140,452.25,466.9,451.6,462.05,94575
1770094260,462.05,477.45,455,471.9,69875
1770094380,472.2,491,458.95,483,75270
1770094500,482.05,497.6,471,485,58695
1770094620,485.3,495.3,477.45,484.4,114075
1770094740,486.9,490.5,460,460,34320
1770094860,463.5,502.2,455.9,492.65,142025
1770094980,494.15,526,488,511.3,126815
1770095100,512.25,525.55,505.5,505.5,130715
1770095220,503.1,521,501.6,510,26130
1770095340,508.75,519.05,501,512.5,33800
1770095460,510.4,520.8,490,496.5,44720
1770095580,498.6,514.95,490.25,494.9,41015
