Timestamp,Open,High,Low,Close,Volume
1770090300,800.05,1154.05,230,553.35,6735105
1770090420,550,598.4,550,584.85,1956500
1770090540,582.1,648.15,576.15,648.1,1135745
1770090660,650,657.95,635,656.85,1063660
1770090780,654.45,667.75,613.3,622.15,804960
1770090900,623.35,632.75,560.6,578.65,542555
1770091020,577.95,620,568,615.05,451165
1770091140,612.7,616.6,573.05,585.8,302250
1770091260,583.75,606.5,581,587,296920
1770091380,586.45,603.5,552.85,555.05,221325
1770091500,556.3,586.05,551.1,578.8,184405
1770091620,575.35,590,560.25,575,173550
1770091740,576.25,587.8,544.6,557.25,114335
1770091860,553.75,562.6,529.55,531.05,119210
1770091980,531.05,547.9,519.25,528.5,138320
1770092100,528.5,535.5,481.7,486.8,154505
1770092220,488.5,553.4,472,548.35,145925
1770092340,550.25,581,550.25,571.05,127660
1770092460,570.3,598,558.2,574.4,209560
1770092580,576.75,576.75,527.15,527.15,95160
1770092700,531.05,555.9,527.7,535.55,268060
1770092820,534,546.1,515,515,60385
1770092940,515,518.3,489.2,516.85,66560
1770093060,518.15,520.95,498.4,513.75,61230
1770093180,513.75,527.65,498.2,499.6,46930
1770093300,495,497.25,460.15,475.1,112450
1770093420,471.75,473.15,436.05,466.7,93665
1770093540,466.8,490.55,466.8,476.9,33605
1770093660,478.4,482,441.7,465.85,60840
1770093780,461.05,476.15,448.1,473.25,36920
1770093900,475,534.25,475,532.5,68965
1770094020,535,563.25,528.35,547.65,108615
1770094140,548.35,563,545,557.35,39065
1770094260,560.5,575.3,552.2,561.4,63115
1770094380,567.15,586.65,555,581.8,59475
1770094500,581.45,595,571,586.5,59605
1770094620,583.65,592,572.9,582.55,50375
1770094740,580,586.1,558.25,560.2,63310
1770094860,560.2,599.5,553,588.75,70590
1770094980,588.75,624,587.95,610.45,86190
1770095100,610.45,623.1,601.6,601.6,46670
1770095220,602.4,618.8,599.9,606.8,49010
1770095340,606.55,618.9,599.9,608.25,33475
1770095460,608.8,618.95,589.95,592.6,27170
1770095580,593.15,612,588.75,593,129155
1770095700,588,601.95,580,599.65,54015
1770095820,596.3,596.3,548,555.55,136955
1770095940,560.95,564.55,548.3,553.6,28925
1770096060,554.75,562,537.05,540.65,31525
1770096180,543.25,567.35,536.8,567.1,31655
1770096300,566.95,601,565.6,580.4,52780
1770096420,580.4,582.7,567.2,579.65,29640
1770096540,578.65,588.85,570,586.5,34320
1770096660,580.9,605.15,580.9,599.2,31005
1770096780,599.2,612,585,594,13520
1770096900,594.15,602,588.7,595.1,17030
1770097020,590.75,591.75,576.8,580.9,18525
1770097140,580.9,580.9,557.45,575.7,14755
1770097260,575.7,580,566.85,571.4,34190
1770097380,576.5,588.05,569.2,585.4,10205
1770097500,583.5,590.1,567.3,578.7,28925
1770097620,577.2,594.65,574.4,587.3,11895
1770097740,590,591.25,569,583.4,24115
1770097860,585.2,594.85,582.8,592.9,14690
1770097980,592.35,602.7,590.9,598.1,13000
1770098100,603,610.1,600.15,602.55,14820
1770098220,605,627,604.35,616.1,36985
1770098340,614.5,620.4,606.9,609,18850
1770098460,608,642.3,606.9,639.75,45825
1770098580,639.75,665,637.4,664,46930
1770098700,665,669.45,649.1,652.55,44980
1770098820,652.55,652.55,629.45,634.8,17810
1770098940,637.1,660.45,636.4,652.45,15730
1770099060,652.45,665.9,649.65,665,13065
1770099180,660.05,665,654.2,657.05,16770
1770099300,658.9,662.95,652.35,653,12480
1770099420,653,653,625.75,629.85,27625
1770099540,629.85,640.2,625.4,632.85,11115
1770099660,631,640.05,622.95,635.55,10335
1770099780,634.4,642.3,630,637.5,5720
1770099900,636.45,645,633.05,644.15,7215
1770100020,644.15,650,640.1,646.8,16185
1770100140,644.9,650.85,636.9,637.8,10400
1770100260,639.8,641.2,623.75,623.75,13000
1770100380,625.9,628.85,614.7,615.85,13065
1770100500,617,623.95,614,620.3,7410
1770100620,617.65,631.65,603.5,630.3,13260
1770100740,630.55,634.35,623.5,626.1,8060
1770100860,631.2,640.55,627.5,634.4,7085
1770100980,634.4,645.45,634.4,636,9685
1770101100,637.35,638,629,634,16510
1770101220,632.7,635,621.25,629.55,5720
1770101340,627.05,636,624,634.9,9750
1770101460,637.1,637.95,623.8,629,5135
1770101580,623.2,625,612,612,6955
1770101700,612,613.1,591.85,608.65,16900
1770101820,610.45,610.45,594,594,12740
1770101940,593,593,572.75,583.4,23790
1770102060,586.1,608.2,585.95,607,21320
1770102180,606.95,614.7,592.1,592.1,19370
1770102300,594.6,596.1,558.3,568.2,32955
1770102420,568,588.2,567,581,9360
1770102540,579.45,602.75,579.45,599.55,7540
1770102660,599.55,599.55,585.65,586.65,4680
1770102780,586.85,598,582.25,598,6435
1770102900,597.1,598.5,582.15,588.35,8645
