Timestamp,Open,High,Low,Close,Volume
1770090300,1178.35,1178.35,350,602.8,3114800
1770090420,597.8,651.7,597.8,632.95,670410
1770090540,635,698,624.65,697.75,398970
1770090660,697.7,706.05,682.8,704.75,305305
1770090780,702.4,716.6,659.25,672.55,434460
1770090900,673.4,683,608,626.8,310895
1770091020,625.9,668.95,617.15,662.75,181220
1770091140,661.1,663.95,622,631.85,128830
1770091260,632.75,655,627.65,637.95,83850
1770091380,634.65,650.25,601.2,602,106860
1770091500,605,633,601.15,623.7,103285
1770091620,623.7,638.95,610.1,626.8,54080
1770091740,624.7,635.75,595,604.05,53495
1770091860,605.9,610.8,577.55,580.5,58305
1770091980,578.35,596,568.2,576.85,40235
1770092100,577.35,584.35,528.05,535.3,80665
1770092220,535.4,600.45,520.2,596.75,52130
1770092340,599.55,628.65,599.25,619.15,45565
1770092460,620.95,645.05,607.6,625.6,34125
1770092580,624.7,624.7,577,577,48035
1770092700,578.55,597.15,576.65,582.05,59735
1770092820,583.5,595,564.45,564.45,28145
1770092940,564.45,566.65,539.95,565.15,20085
1770093060,564.95,570.75,548.05,561.7,28470
1770093180,564.3,576.2,545.5,545.5,11180
1770093300,544.9,544.9,508.75,520.65,34710
1770093420,520.35,520.35,482.5,515.4,31330
1770093540,516.95,539.3,514.95,526.95,19695
1770093660,526.8,532.2,488.7,512,18525
1770093780,510,524.9,495.7,524.9,13845
1770093900,524.9,581.85,524.9,579.9,33150
1770094020,580.85,613.5,573.45,595,18395
1770094140,595,612.25,593.2,609.9,12740
1770094260,608.85,624.5,603.7,619.55,13065
1770094380,618.15,638.65,604.9,630,16640
1770094500,629.25,644.7,620.15,634,24375
1770094620,634,642,623.3,630.25,14885
1770094740,632,637,610,610,8840
1770094860,605.65,648.55,601.55,637.5,12740
1770094980,638.65,674.35,635.8,659.35,14365
1770095100,661.4,672.35,655,655,28925
1770095220,652,668,650,656.5,7735
1770095340,656.15,667.65,647.3,659.1,5720
1770095460,659.6,667.65,638.25,644.3,12805
1770095580,644.3,662.6,637.8,640.1,19500
1770095700,641.05,651,630,644.95,5850
1770095820,644.95,644.95,595.15,602.85,13325
1770095940,606.7,613.25,599,605.85,10725
1770096060,604,611.3,587.15,589.85,5460
1770096180,593.4,615.95,587.95,615.55,6825
1770096300,618.55,650,616.75,629.9,9425
1770096420,629.9,630.9,618.05,629.45,3835
1770096540,625.85,635.95,618.1,635.55,8645
1770096660,635.05,651.45,633.65,651.45,3250
1770096780,653,660.65,635.3,640.3,8125
1770096900,644.2,650.15,640.15,645.05,4355
1770097020,640.35,642.25,625.15,630.4,6500
1770097140,627.5,627.5,605.25,622.95,8775
1770097260,627.6,631.25,617.25,620,1820
1770097380,617.4,637.05,617.4,633.95,5460
1770097500,634.7,637.65,618.35,624.6,2535
1770097620,628.05,644.55,625.95,635.7,4745
1770097740,641.05,641.05,616.65,627.5,3835
1770097860,634.75,642.5,633.95,642.35,6500
1770097980,645,651.3,643.05,650.35,3120
1770098100,651.45,660,651.45,653.45,2925
1770098220,655,676.8,655,665.9,6630
1770098340,663.3,667.9,659.05,659.05,3380
1770098460,661.5,690.2,660.05,688.35,6435
1770098580,688.35,717.9,688.35,712.1,50960
1770098700,716.1,719.85,694,703,13195
1770098820,700.1,700.1,676.05,686.25,4290
1770098940,687.35,710.45,686.9,705.3,3250
1770099060,701.3,716.5,697.1,712.9,2080
1770099180,709.95,714.9,701.85,706.05,3315
1770099300,707,710.3,705,705,4680
1770099420,700,700,676.7,681.2,23400
1770099540,678.9,690,677.3,683.05,2795
1770099660,673.7,690.7,673.7,690.7,390
1770099780,684.25,695.35,681.85,685.8,4030
1770099900,689.6,694.7,682.75,688.85,4940
1770100020,694.7,700.35,689.65,696.8,2470
1770100140,696.55,701.85,688.45,690,2275
1770100260,692,692,675.3,675.3,3965
1770100380,675.35,676.85,665,668.5,1885
1770100500,668.8,672.6,665,670,1235
1770100620,663.5,680,653.1,679.7,3315
1770100740,678,687.4,675.2,677.95,1690
1770100860,680.75,689.65,680,684,1820
1770100980,685.9,694.8,685.9,686.4,910
1770101100,681.05,686.4,680,682.2,1560
1770101220,683.8,683.95,674.25,676.8,3640
1770101340,675.6,685.95,675,683,4095
1770101460,685,691.3,673.45,677,2015
1770101580,674.2,675.25,663,663,2535
1770101700,659.5,662.4,642.75,652,3770
1770101820,658,659.05,644.65,647,2795
1770101940,640,640,623.6,632.75,5460
1770102060,636.85,655.1,636,655.1,1040
1770102180,658.1,663.35,643.95,646.35,4030
1770102300,642,642,610.25,621,8320
1770102420,620.85,638.2,617,628,4745
1770102540,630,654.35,630,654.35,2925
1770102660,647.15,647.15,635.75,638,2275
1770102780,636,638.9,635.9,637,1040
1770102900,644,644.9,632.55,637.85,1235
1770103020,637.85,637.85,629.75,629.75,1560
1770103140,629.6,640,629,638,8970
1770103260,636.45,638,628.3,638,1625
1770103380,641,649.85,635.05,642.95,9815
1770103500,643,660.4,641.9,642,3315
1770103620,639.2,641.7,631.85,641.7,2600
1770103740,636.1,644.05,636.1,642.85,2860
1770103860,649.2,666.9,649.2,654.55,14755
1770103980,645.95,651.7,643.35,650,3575
1770104100,650,659.5,649.95,659.2,910
1770104220,661.5,664.7,640.25,640.25,4225
1770104340,640,645.7,636,639.55,8515
1770104460,639,642.3,631.55,639,12025
1770104580,640.8,641.65,634,637.35,9295
1770104700,640,650,635,641.95,2860
1770104820,647,647,636,645.2,6045
1770104940,648.25,652.85,638.6,638.6,2340
1770105060,638,645.35,629,642,6955
1770105180,642.1,646.35,635,636.8,2340
1770105300,639.65,639.65,604.5,606.85,9685
1770105420,605,622.45,582.75,616,6305
1770105540,620,625.55,611,614,2080
1770105660,610,617.5,605.4,614.2,12480
1770105780,610.45,628.85,599.95,600.55,11505
1770105900,600.55,600.55,569.8,574.95,7670
1770106020,580,620.15,580,620.1,3965
1770106140,620.1,641.1,613.65,641.1,5395
1770106260,646.3,646.3,632.4,638,2730
1770106380,641.55,667.3,641.55,654.8,8320
1770106500,658.4,672.65,654.75,670.35,4680
1770106620,670.7,670.7,653.7,660.3,2470
1770106740,659,660,636.1,644.55,2665
1770106860,645.9,654.6,643,650.95,1820
1770106980,650,658.9,649.9,657.1,845
1770107100,660,662.55,657.4,657.4,975
1770107220,655.75,657.15,617.9,617.9,4030
1770107340,622.85,628.05,604.8,604.8,6630
1770107460,604.9,620.4,604,620.4,3705
1770107580,618.7,628.2,618.7,624.25,1755
1770107700,624.25,629.8,613.3,629.8,2405
1770107820,629.8,636.6,626.15,630.9,1560
1770107940,629,636,628,635.7,585
1770108060,624,635.7,617,633,5785
1770108180,634,643.65,625.25,625.25,2600
1770108300,636.1,636.1,618.8,627.35,1365
1770108420,621,625,615.4,617,2210
1770108540,613.3,626.3,610,625.3,1625
1770108660,620,621.45,612,612,650
1770108780,612.15,637,612.15,628.8,1755
1770108900,632.3,632.3,619.15,620,975
1770109020,620.8,627,619.05,622,9490
1770109140,628.05,640,620,639,4810
1770109260,647.5,647.5,578.05,584.7,5265
1770109380,586.9,610,583.85,610,8710
1770109500,615.75,626.35,609.15,621.7,3770
1770109620,627.55,630.1,618,626.3,18070
1770109740,622.9,625.85,610.8,612.6,2990
1770109860,613.55,613.95,590,605,8580
1770109980,606.3,607.65,591.05,601,23725
1770110100,595.35,615.9,593,607.75,5330
1770110220,609,613.55,603.1,607.55,2925
1770110340,615,626,607.55,613.25,13390
1770110460,609,623.8,594.15,623.8,2990
1770110580,620,626,615,618.6,2080
1770110700,622,624.65,616.35,620.35,3120
1770110820,620.55,658.9,620.55,630.15,12025
1770110940,630.95,647,630.95,639.85,3120
