Timestamp,Symbol,Action,Price,Qty,Product
2026-02-04 13:49:09,NSE:NIFTY2621025300CE,SELL,519.35,65,SIMULATED
2026-02-04 13:52:03,NSE:NIFTY2621025300CE,EXIT_SL,531.6,-65,SIMULATED | PnL: -796.25
2026-02-04 13:57:00,NSE:NIFTY2621025350CE,SELL_FAIL,0,65,ERROR: RED:Margin Shortfall:INR 2 |14 |621.58 Available:INR 0.00 for C-XP24111 [FYERS_RISK_CUG]
2026-02-04 13:57:00,NSE:NIFTY2621025350CE,SELL,482,65,SIMULATED
2026-02-04 14:11:49,NSE:NIFTY2621025350CE,EXIT_SL,491,-65,SIMULATED | PnL: -585
2026-02-04 14:25:00,NSE:NIFTY2621025350CE,SELL_FAIL,0,65,ERROR: RED:Margin Shortfall:INR 2 |16 |519.05 Available:INR 0.00 for C-XP24111 [FYERS_RISK_CUG]
2026-02-04 14:25:00,NSE:NIFTY2621025350CE,SELL,506.25,65,SIMULATED
2026-02-04 15:00:01,NSE:NIFTY2621026200PE,EXIT_MKT,428.85,-65,SIMULATED | PnL: 4530.5
2026-02-04 15:00:01,NSE:NIFTY2621025350CE,EXIT_MKT,490.3,-65,SIMULATED | PnL: 1036.75
2026-02-05 09:19:01,NSE:NIFTY2621026250PE,SELL_FAIL,0,65,ERROR: RED:Margin Shortfall:INR 2 |18 |232.30 Available:INR 0.00 for C-XP24111 [FYERS_RISK_CUG]
2026-02-05 09:19:01,NSE:NIFTY2621026250PE,SELL,522.15,65,SIMULATED
2026-02-05 09:20:59,NSE:NIFTY2621026250PE,EXIT_SL,554.1,-65,SIMULATED | PnL: -2076.75
2026-02-05 09:51:00,NSE:NIFTY2621026150PE,SELL_FAIL,0,65,ERROR: RED:Margin Shortfall:INR 2 |11 |405.35 Available:INR 0.00 for C-XP24111 [FYERS_RISK_CUG]
2026-02-05 09:51:00,NSE:NIFTY2621026150PE,SELL,506.45,65,SIMULATED
