Timestamp,Open,High,Low,Close,Volume
1770003900,430.05,430.05,355.1,416.5,30680
1770004020,415.65,444.5,415.65,426.1,22880
1770004140,433.05,473.75,433.05,461.35,19825
1770004260,463.85,492.25,451.35,485.85,22165
1770004380,488.85,514,485.1,506.75,14625
1770004500,508.9,508.9,473.4,487.45,10140
1770004620,487.45,491.55,463,487.6,7280
1770004740,495.7,512.95,479.45,512.95,13780
1770004860,511.4,540.1,511.4,535.95,30875
1770004980,535.35,543.4,508.85,517.9,9165
1770005100,513.8,513.8,484.45,506.9,11570
1770005220,506.9,530,502.1,528.45,8255
1770005340,529.15,529.15,496.8,497.75,5070
1770005460,497.75,525.4,494.25,504.15,8320
1770005580,501.4,515.35,487.55,487.55,9295
1770005700,487.55,510,480.05,504.95,6630
1770005820,506.5,525.2,500,521.6,10725
1770005940,522.8,522.8,497.35,498.05,7605
1770006060,497.3,537.45,496.05,537.45,10985
1770006180,540.55,551.9,524.2,550.4,9295
1770006300,547.8,547.8,529.7,532.9,3250
1770006420,541.25,542.95,487.85,487.85,7995
1770006540,487.85,488.45,459.85,470.35,10855
1770006660,468,483.4,455.9,466.9,5525
1770006780,468.5,468.5,439.3,439.4,8320
1770006900,440.25,440.25,425.8,433.9,9490
1770007020,440.6,441,425,426.35,5655
1770007140,426.35,435.2,422,432.95,6435
1770007260,430,477.3,430,455,5850
1770007380,452.2,452.2,430.8,448.15,4810
1770007500,445,450,432.45,432.45,3770
1770007620,438.35,442.55,432.25,442.55,910
1770007740,450.5,463.8,435,435,11635
1770007860,438.65,446.1,423.75,423.75,4615
1770007980,423.5,450,423.5,440,2665
1770008100,435,453.1,435,453.1,3315
1770008220,457.6,470.75,447.4,456.15,5850
1770008340,454,465.35,448.85,459.75,5005
1770008460,465.15,480.55,462.75,480.55,8515
1770008580,488,488,467.55,481.6,5590
1770008700,472.85,488.25,471.95,476.75,10075
1770008820,478.05,478.05,466.55,468,650
1770008940,468.25,491.7,460,490.95,2470
1770009060,486.35,486.75,472.65,475.5,1560
1770009180,473.75,481.2,459.4,467.85,3185
1770009300,460,466,457.6,458.75,5720
1770009420,459,469,453.1,469,8125
1770009540,470.95,477.85,459.5,469.9,10725
1770009660,471.6,477,460,460.6,1820
1770009780,461.6,461.6,434,435.15,6370
1770009900,434.2,434.2,403.85,408.7,10465
1770010020,406.25,408.65,390,392.8,21775
1770010140,393.55,396.25,386.1,391.75,16055
1770010260,390.6,390.8,362,383.65,18525
1770010380,382.2,383.8,368,371.7,17810
1770010500,370,375.55,364,365.7,23010
1770010620,365.7,365.7,357,358.2,13260
1770010740,358.2,359.45,334.2,359.45,28600
1770010860,359.45,363,349.65,356,23335
1770010980,356,366.45,355.55,359.8,13845
1770011100,359,363.8,355,355.4,18850
1770011220,356.7,356.85,348.75,351.3,8385
1770011340,351.3,354.9,343.35,353.1,12740
1770011460,350.6,355,332.9,335.4,25090
1770011580,334.25,337.3,324,327,34450
1770011700,326.5,352,323.2,348.6,83785
1770011820,348.05,352.25,342.45,350.65,31005
1770011940,351.4,377.6,348.4,374.25,46020
1770012060,374.25,412.8,367.8,406,51480
1770012180,404.25,445.95,400.85,445.95,49660
1770012300,441.65,444,415,424.6,19760
1770012420,426.55,438.9,418,438.9,14560
1770012540,442,482.95,437.45,451.6,68965
1770012660,448.6,492.15,447.35,487.15,25675
1770012780,485.65,490.2,473.4,487.1,8580
1770012900,490,500,482.25,495.45,15275
1770013020,494,494,477.25,477.45,5135
1770013140,477.35,485,470.55,470.55,8125
1770013260,470.55,491.25,470.55,482.9,8255
1770013380,486.9,493.05,479.85,482.05,4940
1770013500,485,494.95,471.05,492.25,7020
1770013620,488,492.65,473.6,473.6,4160
1770013740,474.75,489.7,473.6,485,2405
1770013860,485,486,469.35,471.35,5655
1770013980,472.95,480.7,472.55,472.55,2080
1770014100,482,489.5,473.75,473.75,1170
1770014220,470,479,465,467.75,1690
1770014340,467.55,487.9,467.55,478.95,1495
1770014460,478.95,491,466.15,490,5460
