Timestamp,Open,High,Low,Close,Volume
1770003900,499.95,541.3,461.9,472.6,239915
1770004020,471.25,471.8,449,460.3,142480
1770004140,460.3,460.3,413.8,426.55,61945
1770004260,426.55,436.55,390,400.3,104130
1770004380,398.65,401.8,372.3,376.45,106210
1770004500,375.45,411.35,374.05,395.35,111475
1770004620,395.05,423,388.25,394.95,78780
1770004740,391.6,404.6,369.2,374,58565
1770004860,375.5,375.5,344.4,346.5,153140
1770004980,345.25,372.05,340.85,367.35,118105
1770005100,370.2,396.75,367.1,373.8,116545
1770005220,372.05,380.95,348.3,357.5,60060
1770005340,358.45,381.2,352.55,380.4,58500
1770005460,380.15,385,352,377.95,52195
1770005580,374.95,388.75,361,388.25,126945
1770005700,387.65,396.25,364.1,369.15,99320
1770005820,366.15,377.75,347.15,351.8,67470
1770005940,354.7,376,349.65,375.25,55705
1770006060,376,376,330.4,333.05,105365
1770006180,332.7,342.95,312,321.5,141180
1770006300,321.25,336.15,318.35,322.1,103285
1770006420,323.15,376.5,321,374.95,117845
1770006540,373.45,400.8,370.3,388.05,255320
1770006660,390.05,406.2,368.1,387,83655
1770006780,386.45,419.9,386.45,418.1,84500
1770006900,418.1,432.9,412.65,417.9,67925
1770007020,418.95,434,411.1,430.9,64155
1770007140,433,434.25,415.2,421.3,37765
1770007260,423,424.2,374.45,396,115895
1770007380,401.7,422,392.35,405,40040
1770007500,405,421,398.55,414.3,38870
1770007620,414.3,418.75,398.65,399.75,28470
1770007740,397.95,415.7,381.25,412.35,67795
1770007860,412.65,425.5,399.4,423.25,52195
1770007980,424.55,426.5,392.8,409.45,208260
1770008100,411.8,412.95,389,390.45,47255
1770008220,390.4,399.8,372.9,393.85,96005
1770008340,393.85,397.8,376.35,379.65,94705
1770008460,380.95,382.25,363.25,366.15,65260
1770008580,365.3,375.15,358.05,367.25,72800
1770008700,368,372.1,356.15,365.45,31720
1770008820,366.35,379,362.75,375,43745
1770008940,374.85,386.4,352.45,360.1,83200
1770009060,357.25,370.15,355.2,367.45,46670
1770009180,369.7,382.5,358.8,373,51675
1770009300,375.5,385,369.1,382.3,43550
1770009420,382.3,388,369.45,375.95,26975
1770009540,372.75,382.15,362.05,368.5,49010
1770009660,369.1,381.1,363,377.45,66495
1770009780,377.45,407.6,377.2,403.65,131235
1770009900,404.2,443.15,404.2,440,186615
1770010020,439.7,456.3,434.25,452.25,142740
1770010140,452.25,459.75,447.6,453.05,91975
1770010260,453.05,487.75,452.25,465,107250
1770010380,465,481.15,462.3,473.4,50895
1770010500,473.4,484.7,470.05,483,34840
1770010620,481.75,490.5,480.5,488.65,33995
1770010740,488.75,519.5,488,488,127855
1770010860,486.2,499.2,480.45,489.65,26650
1770010980,492,492,477.1,485.7,15145
1770011100,486.6,491,479,486,13585
1770011220,489.05,499.7,487.05,494.55,10660
1770011340,495.5,504.75,490.25,496.5,19305
1770011460,496.5,515,490,513.9,42055
1770011580,515.1,525.4,511.05,522.6,41600
1770011700,522.6,527.85,489.45,495,43095
1770011820,492,501.5,489,490,40235
1770011940,490,493.2,459.3,462.5,32890
1770012060,462.85,470.95,424.2,427.35,77870
1770012180,428.05,432.95,387.1,394,149370
1770012300,392.75,419.4,392.75,410.15,90285
1770012420,410.15,417.55,395,395,68315
1770012540,395.35,397.5,353.2,384,108680
1770012660,386.95,388.95,345,348.75,83330
1770012780,349.45,361.6,346,347.4,83850
1770012900,345.35,352.9,336.9,343.2,66885
1770013020,343.2,358.45,343.2,358.45,38415
1770013140,362.45,365.85,350.3,365.85,59930
1770013260,365.7,370.7,342.45,353.25,87880
1770013380,355.4,359,340.45,352,65065
1770013500,355.1,366.8,343.45,351,53560
1770013620,351,364.2,346.85,361.5,29705
1770013740,360,362,346.25,352.8,29315
1770013860,353,366.15,346.8,364.35,30290
1770013980,365.05,366.95,354.25,359.8,18655
1770014100,358.55,365,345.05,364.65,24375
1770014220,366.1,370.55,354.5,366.3,42575
1770014340,367.2,368.9,348.25,352,36855
1770014460,352.35,368.6,343.25,345.8,62530
1770014580,347.4,353.8,307,316.55,88660
