Fetching data for NSE:DIXON-EQ from Dec 11, 2025 to Jan 31, 2026...
Fetching 2025-12-11 to 2025-12-31...
  Fetched 1750 candles.
Fetching 2026-01-01 to 2026-01-31...
  Fetched 2500 candles.
Total Fetched Candles: 4250

--- TRADES ---
ID    | Time                 | Action          | Price      | PnL        | Notes
10    | 2025-12-12 12:39:00  | ENTER SHORT     | 13223.00   | 0.00       | SL Reversal Entry
10    | 2025-12-12 12:45:00  | EXIT (Reversal) | 13247.00   | -24.00     | Reversed to LONG
11    | 2025-12-12 12:45:00  | ENTER LONG      | 13247.00   | 0.00       | Reversal Entry (Close 13247 > VWAP 13240.16)
11    | 2025-12-12 12:48:00  | EXIT (SL)       | 13203.00   | -44.00     | SL Hit (Close 13203 <= SL 13220.00)
12    | 2025-12-12 12:48:00  | ENTER SHORT     | 13203.00   | 0.00       | SL Reversal Entry
12    | 2025-12-12 13:12:00  | EXIT (SL)       | 13272.00   | -69.00     | SL Hit (Close 13272 >= SL 13239.21)
13    | 2025-12-12 13:12:00  | ENTER LONG      | 13272.00   | 0.00       | SL Reversal Entry
13    | 2025-12-12 15:00:00  | EXIT (Square Off) | 13388.00   | 116.00     | Auto Square Off at 15:00:00
14    | 2025-12-15 09:15:00  | ENTER LONG      | 13321.00   | 0.00       | Fresh Entry (Close 13321 > VWAP 13310.33)
14    | 2025-12-15 15:00:00  | EXIT (Square Off) | 13739.00   | 418.00     | Auto Square Off at 15:00:00
