Timestamp,Open,High,Low,Close,Volume
2026-02-04 09:15:00,760.3,760.3,715.15,715.15,5135
2026-02-04 09:17:00,714.5,714.5,674,674,1105
2026-02-04 09:19:00,693,693,693,693,325
2026-02-04 09:21:00,685.85,698.4,682.5,687.75,1950
2026-02-04 09:23:00,680.1,680.1,669.85,669.85,325
2026-02-04 09:25:00,653.15,653.15,635.25,640.85,390
2026-02-04 09:27:00,644.3,646.5,634.95,644,975
2026-02-04 09:29:00,650.65,655,647,648.45,1755
2026-02-04 09:31:00,632.2,635.05,625.9,635.05,1105
2026-02-04 09:33:00,635.05,635.05,630,630,585
2026-02-04 09:35:00,653.4,653.4,650.3,650.3,130
2026-02-04 09:37:00,649.3,670,649.3,670,1105
2026-02-04 09:39:00,667.6,667.6,652.95,652.95,1170
2026-02-04 09:41:00,649,649,638,638,910
2026-02-04 09:43:00,630,630,620,620,585
2026-02-04 09:45:00,629.05,629.05,615.4,620.75,3900
2026-02-04 09:47:00,621.3,621.3,621.3,621.3,65
2026-02-04 09:49:00,621.05,629,620.55,627.25,975
2026-02-04 09:51:00,628.05,633.05,625.9,628.8,1625
2026-02-04 09:53:00,644.55,656.9,644.55,649.9,1105
2026-02-04 09:55:00,637.95,637.95,637.95,637.95,65
2026-02-04 09:57:00,637.95,637.95,627.5,627.5,195
2026-02-04 09:59:00,626.2,626.2,625,625.05,260
2026-02-04 10:01:00,625,631.75,625,627.35,780
2026-02-04 10:03:00,628.3,634.95,628.3,633.25,845
2026-02-04 10:05:00,629.55,629.55,617.95,617.95,650
2026-02-04 10:07:00,624.2,637,615.7,617.15,1560
2026-02-04 10:09:00,617.4,617.4,611.45,611.45,715
2026-02-04 10:11:00,614.3,622,614.3,622,260
2026-02-04 10:13:00,624,633.5,624,625.65,520
2026-02-04 10:15:00,633.95,633.95,624.6,630.1,1105
2026-02-04 10:17:00,630.1,630.1,630.1,630.1,0
2026-02-04 10:19:00,638,647.15,638,638,1430
2026-02-04 10:21:00,638.05,654,638.05,654,1755
2026-02-04 10:23:00,655,661.45,652.95,655.05,910
2026-02-04 10:25:00,660,664,652.4,652.4,1430
2026-02-04 10:27:00,659.05,662.55,659.05,662.55,130
2026-02-04 10:29:00,658.95,658.95,658.95,658.95,65
2026-02-04 10:31:00,658.95,658.95,658.95,658.95,0
2026-02-04 10:33:00,666.75,668.5,666.75,668.5,715
2026-02-04 10:35:00,681,681.9,681,681.9,910
2026-02-04 10:37:00,681.9,688,681.9,686.1,1885
2026-02-04 10:39:00,681.6,681.6,659.05,666.6,1755
2026-02-04 10:41:00,672.55,676.9,666.15,669.75,975
