Timestamp,Open,High,Low,Close,Volume
2026-02-04 09:15:00,531.95,585.6,525,530,17680
2026-02-04 09:17:00,531.95,535,496,498.55,15340
2026-02-04 09:19:00,495.15,515.7,494.85,503,27755
2026-02-04 09:21:00,503.8,518.2,498.85,498.85,8450
2026-02-04 09:23:00,497.85,499.95,479.1,481.15,15405
2026-02-04 09:25:00,484.2,484.2,457.6,465.3,14755
2026-02-04 09:27:00,466.55,471.15,457.75,469.65,12740
2026-02-04 09:29:00,469.9,482,468.6,470.2,12220
2026-02-04 09:31:00,470.2,470.2,448.2,450,17095
2026-02-04 09:33:00,450,468.95,448.7,467.9,5005
2026-02-04 09:35:00,470,477.35,463.85,472,7215
2026-02-04 09:37:00,471.85,494.1,470,482.1,26715
2026-02-04 09:39:00,484.95,490,474.5,478.3,16055
2026-02-04 09:41:00,478.3,478.3,453,455.3,8320
2026-02-04 09:43:00,450.85,458.7,440,442.85,11115
2026-02-04 09:45:00,443.35,453.15,438,444.1,11375
2026-02-04 09:47:00,441.95,446.25,436.5,445.6,11505
2026-02-04 09:49:00,445.4,452.95,443.3,451.3,36400
2026-02-04 09:51:00,450.1,456.3,446.65,455.05,28665
2026-02-04 09:53:00,457.9,477,456.65,457.25,35620
2026-02-04 09:55:00,459.65,466.85,457.85,466.85,16315
2026-02-04 09:57:00,465.05,470.1,450.1,451.45,18395
2026-02-04 09:59:00,451,453.7,441.65,449.65,18460
2026-02-04 10:01:00,449.5,456.15,447.95,451.55,22750
2026-02-04 10:03:00,450.6,458,447.55,453.15,5915
2026-02-04 10:05:00,453.15,453.15,438.9,442.35,16445
2026-02-04 10:07:00,449.65,458.4,434.05,435,15665
2026-02-04 10:09:00,434,439.9,431.8,439.9,14950
2026-02-04 10:11:00,437.25,447.7,437.25,446.05,16055
2026-02-04 10:13:00,450.25,455.8,443.85,447.3,7605
2026-02-04 10:15:00,445.8,454.7,445,450.7,11895
2026-02-04 10:17:00,448.45,456.75,447.25,456.75,12350
2026-02-04 10:19:00,455.65,468.1,455.65,460.25,16575
2026-02-04 10:21:00,460.95,475,458.6,475,11765
2026-02-04 10:23:00,477,480.05,472.95,475.65,11700
2026-02-04 10:25:00,476.95,485,469.25,477.05,11765
2026-02-04 10:27:00,477.1,485,475.5,478,7475
2026-02-04 10:29:00,476,481.9,472,480.15,5395
2026-02-04 10:31:00,479.45,481.35,472,479,5330
2026-02-04 10:33:00,479.45,498.15,479.45,494,37180
2026-02-04 10:35:00,495,499.2,488.45,495.55,7735
2026-02-04 10:37:00,495.15,506.1,492,500,11310
2026-02-04 10:39:00,496.9,499.5,476.95,485.8,13260
2026-02-04 10:41:00,488.75,494.2,482.25,483.85,15275
2026-02-04 10:43:00,485.55,485.9,475,480,4290
2026-02-04 10:45:00,479.15,486,478.7,478.7,2275
2026-02-04 10:47:00,478.5,478.5,467.95,469.15,11050
2026-02-04 10:49:00,469.55,478.15,465.05,472.65,52585
2026-02-04 10:51:00,471.3,477.35,464.8,473.95,3835
2026-02-04 10:53:00,466.85,482.4,466.85,481.85,1300
2026-02-04 10:55:00,480.6,480.6,470.95,474,1235
2026-02-04 10:57:00,475.8,483.45,475.8,479.45,1560
2026-02-04 10:59:00,479.55,479.55,469.2,471.35,1885
2026-02-04 11:01:00,469.2,478.9,466.75,477.85,2535
2026-02-04 11:03:00,467.4,471,458.9,471,4550
2026-02-04 11:05:00,473,477,464.35,464.35,3640
2026-02-04 11:07:00,462.6,471,462.6,469.95,3770
2026-02-04 11:09:00,472.15,487,472.15,487,5850
2026-02-04 11:11:00,490,501.85,488.75,500.55,12610
2026-02-04 11:13:00,500.55,500.55,488.5,492.3,3445
2026-02-04 11:15:00,492.95,510,492.95,510,4550
2026-02-04 11:17:00,507.3,513.95,504.3,509.45,5005
2026-02-04 11:19:00,501.8,506.35,500.15,501.85,7085
2026-02-04 11:21:00,501.95,504.3,493.5,498.1,2210
2026-02-04 11:23:00,499.5,515,496,514.95,4420
