Time,Symbol,Side,Qty,Entry,ExitTime,ExitPrice,PnL,Cumulative PnL
11:27,NSE:NIFTY2620325200PE,SHORT,65,495.0,15:01,177.6,20631.0,20631.0
11:49,NSE:NIFTY2620324400CE,SHORT,65,477.45,12:13,500.0,-1465.75,19165.25
12:21,NSE:NIFTY2620324400CE,SHORT,65,499.6,12:57,541.65,-2733.25,16432.0
13:13,NSE:NIFTY2620324400CE,SHORT,65,557.2,13:43,579.0,-1417.0,15015.0
