Entry Time,Symbol,Side,Qty,Entry Price,Exit Time,Exit Price,PnL,Cumulative PnL
2026-02-04 13:49:09,NSE:NIFTY2621025300CE,SHORT,-65,519.35,2026-02-04 13:52:03,531.6,-796.25,-796.25
2026-02-04 13:57:00,NSE:NIFTY2621025350CE,SHORT,-65,482.0,2026-02-04 14:11:49,491.0,-585.0,-1381.25
2026-02-04 09:19:00,NSE:NIFTY2621026200PE,SHORT,-65,498.55,2026-02-04 15:00:01,428.85,4530.5,3149.25
2026-02-04 14:25:00,NSE:NIFTY2621025350CE,SHORT,-65,506.25,2026-02-04 15:00:01,490.3,1036.75,4186.0
