Time,Symbol,Side,Qty,Entry,ExitTime,ExitPrice,PnL
12:47,NSE:NIFTY2620324700CE,SHORT,65,625.85,12:47,663.3,-2434.2499999999955
13:01,NSE:NIFTY2620324700CE,SHORT,65,675.3,13:01,691.55,-1056.25
13:33,NSE:NIFTY2620324900CE,SHORT,65,531.75,13:33,552,-1316.25
13:43,NSE:NIFTY2620325000CE,SHORT,65,478.05,13:43,491,-841.7499999999993
14:01,NSE:NIFTY2620324700CE,SHORT,65,782.5,14:01,784.3,-116.99999999999704
14:03,NSE:NIFTY2620324800CE,SHORT,65,688.65,14:03,694.3,-367.2499999999985
14:29,NSE:NIFTY2620324900CE,SHORT,65,590.85,14:29,604,-854.7499999999985
15:00,NSE:NIFTY2620325100CE,SHORT,65,426,15:00,422,260
15:00,NSE:NIFTY2620325700PE,SHORT,65,541.2,15:00,333.1,13526.500000000002
